                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61266,                 1.1132,                 1.0288,                0.97775,                0.97431,                0.99068,                0.89395,                0.50888,                0.37695,                 1.0285,             5.8011e-05,             5.8011e-05,             5.8011e-05
                      2,                0.59134,                 1.0108,                 1.0144,                0.96978,                0.96452,                0.99044,                0.89379,                0.50695,                0.38544,                 1.0179,             0.00010867,             0.00010867,             0.00010867
                      3,                0.59223,                0.99346,                 1.0146,                0.96525,                0.97091,                0.99005,                0.89305,                0.52238,                0.39631,                 1.0287,             0.00015162,             0.00015162,             0.00015162
                      4,                0.58644,                0.97138,                 1.0069,                 0.9753,                0.96753,                0.98918,                0.89231,                0.51449,                0.38114,                  1.026,             0.00014035,             0.00014035,             0.00014035
                      5,                0.58519,                0.94699,                 1.0105,                0.97568,                0.97675,                0.99204,                0.90446,                0.49264,                0.35642,                 1.0169,              0.0001288,              0.0001288,              0.0001288
                      6,                0.53324,                0.75213,                0.98689,                 0.9626,                0.97104,                0.99129,                0.89681,                0.51293,                0.36648,                  1.014,             0.00011725,             0.00011725,             0.00011725
                      7,                0.52022,                0.70184,                0.98027,                0.97235,                0.97247,                0.99141,                0.89927,                0.50116,                0.35299,                 1.0209,              0.0001057,              0.0001057,              0.0001057
                      8,                0.51694,                0.68359,                0.98009,                0.97906,                0.96825,                0.99128,                0.90035,                0.50002,                 0.3488,                   1.02,              9.415e-05,              9.415e-05,              9.415e-05
                      9,                 0.5128,                0.67074,                0.97815,                0.97744,                0.97969,                0.99252,                0.90429,                0.50477,                 0.3284,                 1.0158,               8.26e-05,               8.26e-05,               8.26e-05
                     10,                 0.5065,                0.64914,                0.97206,                0.98507,                0.97719,                0.99278,                0.90513,                0.49901,                0.31726,                   1.01,              7.105e-05,              7.105e-05,              7.105e-05
                     11,                0.50642,                0.65316,                 0.9725,                0.97947,                  0.984,                0.99292,                0.90609,                0.49496,                0.31847,                 1.0008,               5.95e-05,               5.95e-05,               5.95e-05
                     12,                0.50308,                0.64267,                0.97056,                0.98285,                0.98331,                0.99339,                0.90772,                0.48423,                0.30871,                0.99903,              4.795e-05,              4.795e-05,              4.795e-05
                     13,                0.50061,                0.63278,                0.97068,                0.98489,                0.98413,                0.99335,                0.91019,                0.48391,                0.30339,                0.99699,               3.64e-05,               3.64e-05,               3.64e-05
                     14,                0.49866,                0.63043,                 0.9674,                0.98414,                 0.9875,                0.99372,                0.90834,                0.47727,                0.29673,                0.98971,              2.485e-05,              2.485e-05,              2.485e-05
                     15,                0.49683,                0.62966,                0.96422,                0.98575,                0.98629,                0.99373,                0.91233,                0.47684,                0.29509,                0.98905,               1.33e-05,               1.33e-05,               1.33e-05
